"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_COAGULATION",0.00769847018023427,0.0146975103886286,0.407017918923954,-0.346831510276755,-1.49489441212824,129,"Pf4, Mbl2, C9, Mmp11, Hrg, Apoc3, Gng12, Mst1, Fga, Apoa1, Cpb2, Klk8, F2, Rgn, F12, Klkb1, Fgg, Plg, Itih1, Serpinc1, F9, Serpine1"
"HALLMARK_COMPLEMENT",0.116504854368932,0.169764216366158,0.151148761385484,-0.263608905412241,-1.19174133205797,184,"Cr2, Pfn1, Gzmb, Atox1, Stx4a, Lgals3, C9, Casp4, Gngt2, Mmp13, Casp1, Msrb1, Gzma, Psmb9, Lck, F2, Klkb1, Plg, Ccl5, Itih1, Serpinc1, Serpine1, Klk1, Irf7"
"HALLMARK_DNA_REPAIR",2.31273791647584e-07,1.31055148600297e-06,0.690132458796796,-0.463253562636204,-2.03523159220197,148,"Sac3d1, Nudt9, Eloa, Vps28, Impdh2, Prim1, Pde6g, Rala, Gtf2h1, Gtf2h3, Polr3c, Nudt21, Tsg101, Rfc5, Tarbp2, Ddb2, Polr2e, Nelfe, Dut, Cox17, Rfc4, Polr3gl, Polb, Rfc2, Polr2d, Surf1, Nme1, Edf1, Mrpl40, Arl6ip1, Guk1, Polr2h, Ncbp2, Dguok, Pcna, Rad52, Gtf2h5, Nt5c3, Hprt1, Pold4, Mpg, Gpx4, Rbx1, Aprt, Taf13, Polr2j, Polr2i, Rpa3, Taf12, Polr2f, Pole4, Cmpk2, Nt5c, Ada, Gtf2a2, Polr2g, Taf10, Polr1d, Polr1h, Cetn2, Polr1c, Eif1b, Snapc5, Nme4, Polr2k, Supt4a, Nme3, Pnp"
"HALLMARK_E2F_TARGETS",0.870165745856354,0.870165745856354,0.0350150690873584,-0.183132587926373,-0.832866215747978,199,"Tra2b, Pttg1, H2ax, Stmn1, Tubb5, Cdkn1a, Ube2t, Nudt21, Jpt1, Srsf2, Gins4, Spc24, Exosc8, Cdk4, Dut, Hmga1b, Ranbp1, Tipin, Rfc2, Ran, Psmc3ip, Prdx4, Nme1, Nap1l1, H2az1, Ube2s, Lsm8, Spc25, Mthfd2, Cenpm, Wee1, Rad1, Cks1b, Eif2s1, Phf5a, Pcna, Gins1, Cks2, Rpa3, Pole4, Dctpp1, Cdkn2c, Dck, Cdkn3, Cdkn2a"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.364312267657993,0.432091294199014,0.13880510939114,0.205511854215427,1.02826692438255,194,"Lamc2, Tnfrsf11b, Fn1, Eln, Comp, Fbn1, Ecm1, Sfrp1, Cdh2, Nid2, Dab2, Fstl1, Magee1, Cdh6, Wnt5a, Mfap5, Loxl1, Rgs4, Abi3bp, Fermt2, Notch2, Slit3, Serpine2, Gja1, Sfrp4, Postn, Thy1, Slit2, Lama1, Dst, Fmod, Timp1, Ptx3, Gas1, Cxcl15, Aplp1, Dpysl3, Vegfa, Nt5e, Lrrc15, Msx1, Itgav, Pvr, Ntm, Dcn, Fzd8, Itgb1, Gpc1, Lamc1, Lama2, Prrx1, Myl9"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",3.99492990106999e-08,2.54676781193212e-07,0.719512826338911,0.396602666971586,1.97710686213183,192,"Kcnk5, Krt8, Wwc1, Pdzk1, Akap1, Scnn1a, Celsr1, Mapt, Slc16a1, Celsr2, Klf4, Mpped2, Mlph, Cbfa2t3, Krt18, Adcy1, Klk10, Myb, Lrig1, Slc24a3, Igf1r, Flnb, Deptor, Add3, Nherf1, Tiam1, Krt19, Esrp2, Adcy9, Klf10, Kazn, Reep1, Thsd4, Tmprss3, Abca3, Rab17, P2ry2, Il6st, Med13l, Abhd2, Ablim1, Sh3bp5, Gja1, Clic3, Elovl5, Fdft1, Inpp5f, Slc22a5, Rhobtb3, Tubb2b, Farp1, Mybbp1a, Ret, Podxl, Rrp12, Eeig1, Foxc1, Slc19a2, Ovol2, Jak2, Rapgefl1, Myof, Ncor2, Rbbp8, Cyp26b1, Tpd52l1, Nav2, Med24, Kdm4b, Dlc1, Tbc1d30, Fasn, Mybl1, Mast4, Papss2, Amfr, Mindy1, Rps6ka2, Sec14l2, Nrip1, Slc2a1, Tmem164"
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.44803179612919e-05,5.27497297161348e-05,0.593325476396405,0.351949505735754,1.75429913239897,190,"Kcnk5, Lamc2, Pdzk1, Scnn1a, Plxnb1, Mapt, Impa2, Slc16a1, Celsr2, Cdh1, Klf4, Lsr, Xrcc3, Klk10, Myb, Ascl1, Llgl2, Slc24a3, Pcp4, Prlr, Acox2, Flnb, Add3, Nherf1, Tiam1, Krt19, Perp, Hspa4l, Tmprss3, Plac1, Abca3, Fgfr3, Igsf1, Gper1, Il6st, Abhd2, Idh2, Clic3, Hmgcs2, Stil, Elovl5, Cacna2d2, Fdft1, Slc22a5, Agr2, Cpe, Gjb3, Dlg5, Farp1, Tst, Ret, Cdc20, Eeig1, Foxc1, Slc29a1, Top2a, Aldh3a2, Ugdh, Ltf, Kif20a, Ovol2, Jak2, Rapgefl1, Myof, Ncor2, Rbbp8, Emp2, Cyp26b1, Tpd52l1, Atp2b4"
"HALLMARK_FATTY_ACID_METABOLISM",2.63291283411239e-07,1.34278554539732e-06,0.674962860011025,0.408526209404352,1.99191294730722,154,"Cidea, Ppara, Ehhadh, Gpd2, Acadvl, Aco2, Acaa2, Etfdh, Hadhb, Bmpr1b, Suclg1, Sucla2, Dlst, Acadl, Acss1, Mlycd, Retsat, Gpd1, Sdha, Crat, Idh3g, Car4, Pdha1, Dld, Fmo1, Acot2, Acads, Cpt1a, Acadm, Cpt2, Idh3b, Fh1, Decr1, Acsm3, Acox1, Suclg2, Mdh2, Hadh, Acat2, Hmgcs2, Elovl5, Acsl4, Slc22a5, Pdhb, Acsl1, Mgll, Aldoa, Eci1, Hsp90aa1, Ptprg, Aldh3a2, Ugdh, Aldh9a1, Me1"
"HALLMARK_G2M_CHECKPOINT",0.00626777395252851,0.0127862588631582,0.407017918923954,0.278534285294345,1.39888503728763,195,"Slc12a2, Efna5, E2f3, Cenpf, Uck2, Dmd, Casp8ap2, Slc7a1, Rasal2, Espl1, Rps6ka5, Ccnt1, Egf, Hif1a, Nup98, Notch2, Tnpo2, Arid4a, Abl1, Hnrnpd, Stil, Lig3, Brca2, Cul3, Mybl2, Nsd2, Pola2, Plk1, Stag1, Cdc20, Gspt1, Bcl3, Cul5, Kif15, Top2a, Prc1, Atrx, Rad21, Syncrip, Foxn3, Wrn, Cul1, Polq, Mki67, Ewsr1, Sfpq, Kif4, Odf2, Chaf1a, Cul4a, Ctcf, Xpo1, Smc1a, Smarcc1, Kif5b, Ncl, Cenpe, Cdc25a, Smc2, Troap, Hnrnpu, Kpnb1, Pafah1b1, Numa1, Nusap1, Pds5b, Pura, Mtf2, Pole, Upf1, Lbr, Slc38a1, Tpx2, Ccna2, Nasp, Smad3, Cdc27, Bard1, Ttk, Myc, Sqle"
"HALLMARK_GLYCOLYSIS",0.128676470588235,0.182291666666667,0.241339976815091,0.230900099368543,1.16474559877281,197,"Fbp2, Gpc3, Chst4, Vldlr, Cldn9, Met, Me2, Dld, Gys2, Ext1, Irs2, Agl, Sox9, Xylt2, Zfp292, Cacna1h, Mdh2, Rragd, Tpst1, Lhx9, Gal3st1, Phka2, Cldn3, Pygl, Pkm, Hdlbp, Glce, Aldoa, Chpf2, Aldh9a1, Me1, Kif20a, Kif2a, Pygb, Vegfa, Nt5e, Ext2, Angptl4, Egln3, Capn5, Pgm2, Hs2st1, Med24, Gys1, Aldh7a1, Pcx, Dcn, Gclc, Copb2, Gpc1, Cited2, Ero1a, Ecd, Pkp2, Dpysl4, B3gnt3, Pfkp"
